product_name,status,short_words,long_words,h1_count,spec_rows,inline_figures,internal_links,meta_chars,max_6gram_jaccard_pct,result
Custom White Magnetic Gift Box with Black Foam Insert,publish,131,1912,0,21,4,5,134,48.6,PASS
Custom Orange Drawer Gift Box with Navy Tray and Ribbon Pull,publish,134,1868,0,21,4,5,131,49.4,PASS
Custom Ampoule Carton with Molded Pulp Insert,publish,136,1796,0,21,4,5,139,48.4,PASS
Custom Printed Churros Takeaway Box,publish,131,1783,0,21,4,5,137,48.3,PASS
Custom Black Mailer Box with Gold Foil Logo,publish,133,1847,0,21,4,5,131,49.4,PASS
Custom Fold-Flat Apparel Mailer Box with Inside Print,publish,134,1805,0,21,4,5,115,48.2,PASS
Custom Navy Blue Mailer Box with Gold Foil Logo,publish,128,1795,0,21,4,5,128,48.8,PASS
Custom Fold-Flat Pizza Delivery Box with Full-Color Print,draft,126,1769,0,21,2,5,134,48.3,PASS
Custom Printed Tool Holder Packaging Carton,publish,128,1800,0,21,4,5,129,48.4,PASS
Custom Botanical Embossed Drawer Gift Box,publish,134,1789,0,21,4,5,134,48.1,PASS
Custom Watch Gift Box and Paper Bag Set with Foam Insert,publish,135,1826,0,21,4,5,124,44.3,PASS
