product_id,url,primary_keyword,seo_title,seo_title_length,meta_description,meta_description_length,focus_keyword_exact,seo_title_exact,meta_description_exact,seo_title_unique,meta_description_unique,focus_keyword_unique,canonical_db_preserved,effective_canonical_valid,frontend_title_exact,frontend_meta_exact,qa_status
228,http://localhost/hopgiayvpn/product/custom-cylindrical-paper-tube-box/,"cylindrical paper tube box","Custom Cylindrical Paper Tube Box for Tea Brands Supplier",57,"Custom cylindrical paper tube box for tea, coffee, cosmetics, candles, gifts, dry food, and premium retail products. Features custom logo. B2B packaging.",153,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,PASS
229,http://localhost/hopgiayvpn/product/custom-flat-rigid-gift-box-with-ribbon/,"flat rigid gift box","Custom Flat Rigid Gift Box With Ribbon for Apparel Brands",57,"Custom flat rigid gift box with ribbon design for apparel, scarves, wallets, accessories, documents, corporate gifts, and premium retail packaging.",147,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,PASS
230,http://localhost/hopgiayvpn/product/custom-pastry-display-box-with-drawer/,"pastry display box with drawer","Custom Pastry Display Box With Drawer for Food Brands",53,"Custom pastry display box with drawer for premium desserts, mini cakes, pastries, bakery gifts, and retail presentation. Features custom logo.",142,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,PASS
231,http://localhost/hopgiayvpn/product/custom-wine-drawer-box-with-insert/,"wine drawer box with insert","Custom Wine Drawer Box With Insert for Wine Brands",50,"Custom wine drawer box with insert for wine bottles, premium beverage gifts, retail packaging, and corporate gifting. Features custom logo. B2B packaging.",154,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,PASS
232,http://localhost/hopgiayvpn/product/luxury-wine-bottle-packaging-boxes/,"luxury wine bottle packaging boxes","Luxury Wine Bottle Packaging Boxes Manufacturer Manufacturer",60,"Rigid wine bottle packaging boxes with fitted inserts for bottle protection and high-end presentation. Request a specification-led B2B quote.",141,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,PASS
233,http://localhost/hopgiayvpn/product/custom-candle-jar-box-with-insert/,"candle jar box with insert","Custom Candle Jar Box With Insert for Candle Brands",51,"Custom candle jar box with insert for scented candles, glass candle jars, luxury gifts, and retail packaging. Features custom logo. B2B packaging.",146,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,PASS
234,http://localhost/hopgiayvpn/product/custom-incense-packaging-box-with-window/,"incense packaging box with window","Custom Incense Packaging Box With Window for Incense Brands",59,"Custom incense packaging box with window for incense sticks, agarwood incense, fragrance products, and spiritual gift packaging. Features custom logo.",150,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,PASS
235,http://localhost/hopgiayvpn/product/custom-essential-oil-packaging-box-with-insert/,"essential oil packaging box","Custom Essential Oil Packaging Box With Insert Manufacturer",59,"Custom essential oil packaging box with insert for essential oil bottles, aromatherapy sets, fragrance oils, and wellness products. Features custom logo.",153,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,PASS
236,http://localhost/hopgiayvpn/product/custom-wallet-drawer-box/,"custom wallet drawer box","Custom Wallet Drawer Box for Wallet Brands Manufacturer",55,"Custom wallet drawer box for wallets, card holders, leather accessories, small gifts, and premium retail packaging. Features custom logo. B2B packaging.",152,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,PASS
237,http://localhost/hopgiayvpn/product/custom-rigid-gift-box-with-ribbon-closure/,"rigid gift box with ribbon","Custom Rigid Gift Box With Ribbon Closure for Retail Brands",59,"Custom rigid gift box with ribbon closure for premium gifts, cosmetics, jewelry, accessories, fashion products, and corporate packaging. B2B packaging.",151,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,PASS
238,http://localhost/hopgiayvpn/product/custom-wine-gift-box-with-accessories/,"wine gift box with accessories","Custom Wine Gift Box With Accessories for Wine Brands",53,"Custom wine gift box with accessories for wine bottles, opener sets, premium gifts, retail packaging, and branded presentation. Features custom logo.",149,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,PASS
239,http://localhost/hopgiayvpn/product/custom-pizza-packaging-box/,"custom pizza packaging box","Custom Pizza Packaging Box for Food Brands Manufacturer",55,"Custom pizza packaging box for pizza delivery, takeaway food, restaurants, bakeries, and F&B brands. Features custom logo. B2B packaging.",137,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,PASS
240,http://localhost/hopgiayvpn/product/custom-cosmetic-tube-packaging-box-with-insert/,"cosmetic tube packaging box","Custom Cosmetic Tube Packaging Box With Insert Manufacturer",59,"Custom cosmetic tube packaging box with insert for skincare tubes, beauty samples, small bottles, and retail product sets. Features custom logo.",144,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,PASS
241,http://localhost/hopgiayvpn/product/custom-perfume-box-with-insert/,"perfume box with insert","Custom Perfume Box With Insert for Perfume Brands Supplier",58,"Custom perfume box with insert for luxury perfume bottles, fragrance brands, retail gifts, and premium product packaging. Features custom logo.",143,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,PASS
242,http://localhost/hopgiayvpn/product/custom-gift-box-with-ribbon-bow/,"gift box with ribbon bow","Custom Gift Box With Ribbon Bow for Retail Brands Supplier",58,"Custom gift box with ribbon bow for premium gifts, cosmetics, jewelry, accessories, fashion products, and corporate packaging. Features custom logo.",148,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,PASS
243,http://localhost/hopgiayvpn/product/custom-nested-kraft-gift-boxes-with-ribbon/,"nested kraft gift boxes","Custom Nested Kraft Gift Boxes With Ribbon for Retail Brands",60,"Custom nested kraft gift boxes with ribbon for premium gifts, retail products, corporate packaging, and seasonal gift sets. Features custom logo.",145,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,PASS
244,http://localhost/hopgiayvpn/product/custom-tea-gift-box-with-window/,"tea gift box with window","Custom Tea Gift Box With Window for Tea Brands Manufacturer",59,"Custom tea gift box with window for tea sets, teaware gifts, premium retail packaging, and corporate gifts. Features custom logo. B2B packaging.",144,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,PASS
245,http://localhost/hopgiayvpn/product/custom-apparel-drawer-box-with-ribbon-pull/,"apparel drawer box","Custom Apparel Drawer Box With Ribbon Pull Manufacturer",55,"Custom apparel drawer box with ribbon pull for scarves, fashion accessories, textile products, gift sets, and retail packaging. Features custom logo.",149,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,PASS
246,http://localhost/hopgiayvpn/product/custom-gift-box-with-shredded-paper-filler/,"gift box with shredded paper","Custom Gift Box With Shredded Paper Filler for Retail Brands",60,"Custom gift box with shredded paper filler for small gifts, accessories, handmade products, ornaments, and retail packaging. Features custom logo.",146,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,PASS
