id,folder,product_name,slug,status,short_words,long_words,h1_count,spec_rows,inline_figures,internal_links,meta_chars,seo_title,focus_keyword,max_6gram_jaccard_pct
1,01-custom-white-magnetic-gift-box-black-foam-insert,Custom White Magnetic Gift Box with Black Foam Insert,custom-white-magnetic-gift-box-black-foam-insert,publish,131,1912,0,21,4,5,134,CUSTOM WHITE MAGNETIC GIFT BOX WITH BLACK FOAM INSERT | VPN PAPER BOX MANUFACTURER,custom white magnetic gift box,48.6
2,02-custom-orange-drawer-gift-box-navy-tray-ribbon-pull,Custom Orange Drawer Gift Box with Navy Tray and Ribbon Pull,custom-orange-drawer-gift-box-navy-tray-ribbon-pull,publish,134,1868,0,21,4,5,131,CUSTOM ORANGE DRAWER GIFT BOX WITH NAVY TRAY AND RIBBON PULL | VPN PAPER BOX MANUFACTURER,custom orange drawer gift box,49.4
3,03-custom-ampoule-carton-molded-pulp-insert,Custom Ampoule Carton with Molded Pulp Insert,custom-ampoule-carton-molded-pulp-insert,publish,136,1796,0,21,4,5,139,CUSTOM AMPOULE CARTON WITH MOLDED PULP INSERT | VPN PAPER BOX MANUFACTURER,custom ampoule carton molded pulp insert,48.4
4,04-custom-printed-churros-takeaway-box,Custom Printed Churros Takeaway Box,custom-printed-churros-takeaway-box,publish,131,1783,0,21,4,5,137,CUSTOM PRINTED CHURROS TAKEAWAY BOX | VPN PAPER BOX MANUFACTURER,custom printed churros takeaway box,48.3
5,05-custom-black-mailer-box-gold-foil-logo,Custom Black Mailer Box with Gold Foil Logo,custom-black-mailer-box-gold-foil-logo,publish,133,1847,0,21,4,5,131,CUSTOM BLACK MAILER BOX WITH GOLD FOIL LOGO | VPN PAPER BOX MANUFACTURER,custom black mailer box gold foil logo,49.4
6,06-custom-fold-flat-apparel-mailer-box-inside-print,Custom Fold-Flat Apparel Mailer Box with Inside Print,custom-fold-flat-apparel-mailer-box-inside-print,publish,134,1805,0,21,4,5,115,CUSTOM FOLD-FLAT APPAREL MAILER BOX WITH INSIDE PRINT | VPN PAPER BOX MANUFACTURER,custom apparel mailer box inside print,48.2
7,07-custom-navy-blue-mailer-box-gold-foil-logo,Custom Navy Blue Mailer Box with Gold Foil Logo,custom-navy-blue-mailer-box-gold-foil-logo,publish,128,1795,0,21,4,5,128,CUSTOM NAVY BLUE MAILER BOX WITH GOLD FOIL LOGO | VPN PAPER BOX MANUFACTURER,custom navy blue mailer box gold foil,48.8
8,08-custom-fold-flat-pizza-delivery-box-full-color-print,Custom Fold-Flat Pizza Delivery Box with Full-Color Print,custom-fold-flat-pizza-delivery-box-full-color-print,draft,126,1769,0,21,2,5,134,CUSTOM FOLD-FLAT PIZZA DELIVERY BOX WITH FULL-COLOR PRINT | VPN PAPER BOX MANUFACTURER,custom printed pizza delivery box,48.3
9,09-custom-printed-tool-holder-packaging-carton,Custom Printed Tool Holder Packaging Carton,custom-printed-tool-holder-packaging-carton,publish,128,1800,0,21,4,5,129,CUSTOM PRINTED TOOL HOLDER PACKAGING CARTON | VPN PAPER BOX MANUFACTURER,custom printed tool packaging carton,48.4
10,10-custom-botanical-embossed-drawer-gift-box,Custom Botanical Embossed Drawer Gift Box,custom-botanical-embossed-drawer-gift-box,publish,134,1789,0,21,4,5,134,CUSTOM BOTANICAL EMBOSSED DRAWER GIFT BOX | VPN PAPER BOX MANUFACTURER,custom botanical embossed drawer gift box,48.1
11,11-custom-watch-gift-box-paper-bag-set-foam-insert,Custom Watch Gift Box and Paper Bag Set with Foam Insert,custom-watch-gift-box-paper-bag-set-foam-insert,publish,135,1826,0,21,4,5,124,CUSTOM WATCH GIFT BOX AND PAPER BAG SET WITH FOAM INSERT | VPN PAPER BOX MANUFACTURER,custom watch gift box paper bag set,44.3
