product_id,title,slug,url,status,batch_id,batch_order,cluster,primary_category,primary_keyword,secondary_keywords,short_description_words,main_content_words,seo_title,meta_description,focus_keyword,canonical_preserved,internal_links_planned,owner_review,decision_flag,source_html_file,source_html_sha256,database_content_sha256,http_status,qa_status,qa_failures
228,"Custom Cylindrical Paper Tube Box",custom-cylindrical-paper-tube-box,http://localhost/hopgiayvpn/product/custom-cylindrical-paper-tube-box/,publish,BATCH-06,6,"Tea and coffee packaging","Paper Tube Packaging","cylindrical paper tube box","tea packaging box | cylindrical paper tube box manufacturer | cylindrical paper tube box for tea | art paper tea box",51,981,"Custom Cylindrical Paper Tube Box for Tea Brands Supplier","Custom cylindrical paper tube box for tea, coffee, cosmetics, candles, gifts, dry food, and premium retail products. Features custom logo. B2B packaging.","cylindrical paper tube box",,4,NO,KEEP_DISTINCT,C:\xampp\htdocs\hopgiayvpn\seo-content\product-rewrite-v1\products\228-custom-cylindrical-paper-tube-box.html,a419b5d775eaa0439ecb9ce306b57d798dac5a34a54843a9249d4e36ac7f8a60,a419b5d775eaa0439ecb9ce306b57d798dac5a34a54843a9249d4e36ac7f8a60,200,PASS,
229,"Custom Flat Rigid Gift Box with Ribbon",custom-flat-rigid-gift-box-with-ribbon,http://localhost/hopgiayvpn/product/custom-flat-rigid-gift-box-with-ribbon/,publish,BATCH-13,13,"Jewelry, watch and premium accessories","Rigid Boxes","flat rigid gift box","flat rigid gift box with ribbon | apparel packaging box | flat rigid gift box manufacturer | flat rigid gift box with ribbon for apparel | art paper apparel box",42,937,"Custom Flat Rigid Gift Box With Ribbon for Apparel Brands","Custom flat rigid gift box with ribbon design for apparel, scarves, wallets, accessories, documents, corporate gifts, and premium retail packaging.","flat rigid gift box",,4,NO,KEEP_AS_VARIANT,C:\xampp\htdocs\hopgiayvpn\seo-content\product-rewrite-v1\products\229-custom-flat-rigid-gift-box-with-ribbon.html,3649a8d166307a484df117a6bd4ddd5d6e876b76f29c1218542d1eabfa6e2c3c,3649a8d166307a484df117a6bd4ddd5d6e876b76f29c1218542d1eabfa6e2c3c,200,PASS,
230,"Custom Pastry Display Box with Drawer",custom-pastry-display-box-with-drawer,http://localhost/hopgiayvpn/product/custom-pastry-display-box-with-drawer/,publish,BATCH-11,11,"Bakery, food and confectionery packaging","Bakery Packaging Boxes","pastry display box with drawer","food packaging box | pastry display box with drawer manufacturer | pastry display box with drawer for food | food grade paper food box",41,1037,"Custom Pastry Display Box With Drawer for Food Brands","Custom pastry display box with drawer for premium desserts, mini cakes, pastries, bakery gifts, and retail presentation. Features custom logo.","pastry display box with drawer",,4,NO,KEEP_AS_VARIANT,C:\xampp\htdocs\hopgiayvpn\seo-content\product-rewrite-v1\products\230-custom-pastry-display-box-with-drawer.html,6ba9dd9cf1005267bd7a238e6a64032d3be24614c8afcfd1e24e3c4a51c1306c,6ba9dd9cf1005267bd7a238e6a64032d3be24614c8afcfd1e24e3c4a51c1306c,200,PASS,
231,"Custom Wine Drawer Box with Insert",custom-wine-drawer-box-with-insert,http://localhost/hopgiayvpn/product/custom-wine-drawer-box-with-insert/,publish,BATCH-12,12,"Wine, bottle and beverage packaging","Drawer Boxes","wine drawer box with insert","wine packaging box | wine drawer box with insert manufacturer | wine drawer box with insert for wine | art paper wine box",41,1072,"Custom Wine Drawer Box With Insert for Wine Brands","Custom wine drawer box with insert for wine bottles, premium beverage gifts, retail packaging, and corporate gifting. Features custom logo. B2B packaging.","wine drawer box with insert",,4,NO,KEEP_AS_VARIANT,C:\xampp\htdocs\hopgiayvpn\seo-content\product-rewrite-v1\products\231-custom-wine-drawer-box-with-insert.html,07dee519dc4b101ef31ff416aba2a56116e62b59c59841ca73a9183708290936,07dee519dc4b101ef31ff416aba2a56116e62b59c59841ca73a9183708290936,200,PASS,
232,"Luxury Wine Bottle Packaging Boxes",luxury-wine-bottle-packaging-boxes,http://localhost/hopgiayvpn/product/luxury-wine-bottle-packaging-boxes/,publish,BATCH-12,12,"Wine, bottle and beverage packaging","Gift Paper Boxes","luxury wine bottle packaging boxes","luxury wine bottle packaging boxes manufacturer | wholesale luxury wine bottle packaging boxes | luxury wine bottle packaging boxes supplier",42,967,"Luxury Wine Bottle Packaging Boxes Manufacturer Manufacturer","Rigid wine bottle packaging boxes with fitted inserts for bottle protection and high-end presentation. Request a specification-led B2B quote.","luxury wine bottle packaging boxes",,4,YES,NEEDS_OWNER_REVIEW,C:\xampp\htdocs\hopgiayvpn\seo-content\product-rewrite-v1\products\232-luxury-wine-bottle-packaging-boxes.html,23d276a499fc37708845e1cdd1579cfe36f284443cf5c6eec492d09e5757fa0b,23d276a499fc37708845e1cdd1579cfe36f284443cf5c6eec492d09e5757fa0b,200,PASS,
233,"Custom Candle Jar Box with Insert",custom-candle-jar-box-with-insert,http://localhost/hopgiayvpn/product/custom-candle-jar-box-with-insert/,publish,BATCH-17,17,"Home, candle and lifestyle packaging","Candle Packaging Boxes","candle jar box with insert","candle packaging box | candle jar box with insert manufacturer | candle jar box with insert for candle | art paper candle box",44,926,"Custom Candle Jar Box With Insert for Candle Brands","Custom candle jar box with insert for scented candles, glass candle jars, luxury gifts, and retail packaging. Features custom logo. B2B packaging.","candle jar box with insert",,4,NO,KEEP_DISTINCT,C:\xampp\htdocs\hopgiayvpn\seo-content\product-rewrite-v1\products\233-custom-candle-jar-box-with-insert.html,dabcd4521bd53494f7d06e821c43d609477e68d81118570e97ff873fa2f407a7,dabcd4521bd53494f7d06e821c43d609477e68d81118570e97ff873fa2f407a7,200,PASS,
234,"Custom Incense Packaging Box with Window",custom-incense-packaging-box-with-window,http://localhost/hopgiayvpn/product/custom-incense-packaging-box-with-window/,publish,BATCH-09,9,"Perfume and beauty packaging","Custom Printed Paper Boxes","incense packaging box with window","incense packaging box | incense packaging box with window manufacturer | incense packaging box with window for incense | art paper incense box",42,1003,"Custom Incense Packaging Box With Window for Incense Brands","Custom incense packaging box with window for incense sticks, agarwood incense, fragrance products, and spiritual gift packaging. Features custom logo.","incense packaging box with window",,1,NO,KEEP_DISTINCT,C:\xampp\htdocs\hopgiayvpn\seo-content\product-rewrite-v1\products\234-custom-incense-packaging-box-with-window.html,63e558c07da028f22d2d8ecdd9dbb0b03418df8d5db92b30deefb101d9e9f83d,63e558c07da028f22d2d8ecdd9dbb0b03418df8d5db92b30deefb101d9e9f83d,200,PASS,
235,"Custom Essential Oil Packaging Box with Insert",custom-essential-oil-packaging-box-with-insert,http://localhost/hopgiayvpn/product/custom-essential-oil-packaging-box-with-insert/,publish,BATCH-08,8,"Perfume and beauty packaging","Cosmetic Paper Boxes","essential oil packaging box","essential oil packaging box with insert | essential oil packaging box manufacturer | essential oil packaging box with insert for essential oil | white cardboard essential oil box",40,1025,"Custom Essential Oil Packaging Box With Insert Manufacturer","Custom essential oil packaging box with insert for essential oil bottles, aromatherapy sets, fragrance oils, and wellness products. Features custom logo.","essential oil packaging box",,4,YES,KEEP_DISTINCT,C:\xampp\htdocs\hopgiayvpn\seo-content\product-rewrite-v1\products\235-custom-essential-oil-packaging-box-with-insert.html,76a2767c6ced03d64305d96ecbbc1045a9ba81c03e2e0e1f99c2a4e82e2688b4,76a2767c6ced03d64305d96ecbbc1045a9ba81c03e2e0e1f99c2a4e82e2688b4,200,PASS,
236,"Custom Wallet Drawer Box",custom-wallet-drawer-box,http://localhost/hopgiayvpn/product/custom-wallet-drawer-box/,publish,BATCH-13,13,"Jewelry, watch and premium accessories","Drawer Boxes","custom wallet drawer box","wallet drawer box | wallet packaging box | custom wallet drawer box manufacturer | wallet drawer box for wallet | art paper wallet box",41,997,"Custom Wallet Drawer Box for Wallet Brands Manufacturer","Custom wallet drawer box for wallets, card holders, leather accessories, small gifts, and premium retail packaging. Features custom logo. B2B packaging.","custom wallet drawer box",,4,NO,KEEP_AS_VARIANT,C:\xampp\htdocs\hopgiayvpn\seo-content\product-rewrite-v1\products\236-custom-wallet-drawer-box.html,70a9dcb863e8f101c0d81c037493c1515b826766b49eb43601df9f793ea1898f,70a9dcb863e8f101c0d81c037493c1515b826766b49eb43601df9f793ea1898f,200,PASS,
237,"Custom Rigid Gift Box with Ribbon Closure",custom-rigid-gift-box-with-ribbon-closure,http://localhost/hopgiayvpn/product/custom-rigid-gift-box-with-ribbon-closure/,publish,BATCH-09,9,"Perfume and beauty packaging","Rigid Boxes","rigid gift box with ribbon","rigid gift box with ribbon closure | retail packaging box | rigid gift box with ribbon manufacturer | rigid gift box with ribbon closure for retail | art paper retail box",45,929,"Custom Rigid Gift Box With Ribbon Closure for Retail Brands","Custom rigid gift box with ribbon closure for premium gifts, cosmetics, jewelry, accessories, fashion products, and corporate packaging. B2B packaging.","rigid gift box with ribbon",,4,NO,KEEP_AS_VARIANT,C:\xampp\htdocs\hopgiayvpn\seo-content\product-rewrite-v1\products\237-custom-rigid-gift-box-with-ribbon-closure.html,1d500ddd4e0debdeef1b984f43d8530129e83cb9415face6c3651437a163c546,1d500ddd4e0debdeef1b984f43d8530129e83cb9415face6c3651437a163c546,200,PASS,
