product_id,url,http_status,effective_url,response_bytes,h1_count,h1_text,heading_hierarchy_valid,quote_form_present,image_count,canonical,schema_url_valid,banned_claims,qa_status,qa_failures
228,http://localhost/hopgiayvpn/product/custom-cylindrical-paper-tube-box/,200,http://localhost/hopgiayvpn/product/custom-cylindrical-paper-tube-box/,132485,1,"Custom Cylindrical Paper Tube Box",YES,YES,5,,YES,,PASS,
229,http://localhost/hopgiayvpn/product/custom-flat-rigid-gift-box-with-ribbon/,200,http://localhost/hopgiayvpn/product/custom-flat-rigid-gift-box-with-ribbon/,136489,1,"Custom Flat Rigid Gift Box with Ribbon",YES,YES,9,,YES,,PASS,
230,http://localhost/hopgiayvpn/product/custom-pastry-display-box-with-drawer/,200,http://localhost/hopgiayvpn/product/custom-pastry-display-box-with-drawer/,157116,1,"Custom Pastry Display Box with Drawer",YES,YES,20,,YES,,PASS,
231,http://localhost/hopgiayvpn/product/custom-wine-drawer-box-with-insert/,200,http://localhost/hopgiayvpn/product/custom-wine-drawer-box-with-insert/,152575,1,"Custom Wine Drawer Box with Insert",YES,YES,18,,YES,,PASS,
232,http://localhost/hopgiayvpn/product/luxury-wine-bottle-packaging-boxes/,200,http://localhost/hopgiayvpn/product/luxury-wine-bottle-packaging-boxes/,130426,1,"Luxury Wine Bottle Packaging Boxes",YES,YES,9,,YES,,PASS,
233,http://localhost/hopgiayvpn/product/custom-candle-jar-box-with-insert/,200,http://localhost/hopgiayvpn/product/custom-candle-jar-box-with-insert/,136259,1,"Custom Candle Jar Box with Insert",YES,YES,9,,YES,,PASS,
234,http://localhost/hopgiayvpn/product/custom-incense-packaging-box-with-window/,200,http://localhost/hopgiayvpn/product/custom-incense-packaging-box-with-window/,136771,1,"Custom Incense Packaging Box with Window",YES,YES,9,,YES,,PASS,
235,http://localhost/hopgiayvpn/product/custom-essential-oil-packaging-box-with-insert/,200,http://localhost/hopgiayvpn/product/custom-essential-oil-packaging-box-with-insert/,151819,1,"Custom Essential Oil Packaging Box with Insert",YES,YES,18,,YES,,PASS,
236,http://localhost/hopgiayvpn/product/custom-wallet-drawer-box/,200,http://localhost/hopgiayvpn/product/custom-wallet-drawer-box/,136274,1,"Custom Wallet Drawer Box",YES,YES,9,,YES,,PASS,
237,http://localhost/hopgiayvpn/product/custom-rigid-gift-box-with-ribbon-closure/,200,http://localhost/hopgiayvpn/product/custom-rigid-gift-box-with-ribbon-closure/,136378,1,"Custom Rigid Gift Box with Ribbon Closure",YES,YES,9,,YES,,PASS,
238,http://localhost/hopgiayvpn/product/custom-wine-gift-box-with-accessories/,200,http://localhost/hopgiayvpn/product/custom-wine-gift-box-with-accessories/,151842,1,"Custom Wine Gift Box with Accessories",YES,YES,18,,YES,,PASS,
239,http://localhost/hopgiayvpn/product/custom-pizza-packaging-box/,200,http://localhost/hopgiayvpn/product/custom-pizza-packaging-box/,141888,1,"Custom Pizza Packaging Box",YES,YES,12,,YES,,PASS,
240,http://localhost/hopgiayvpn/product/custom-cosmetic-tube-packaging-box-with-insert/,200,http://localhost/hopgiayvpn/product/custom-cosmetic-tube-packaging-box-with-insert/,156885,1,"Custom Cosmetic Tube Packaging Box with Insert",YES,YES,20,,YES,,PASS,
