product_id,title,url,url_http_status,search_intent,primary_keyword,secondary_keyword_1,secondary_keyword_2,secondary_keyword_3,secondary_keyword_4,secondary_keyword_5,search_volume,keyword_difficulty,decision_flag,decision_reason,owner_review
228,"Custom Cylindrical Paper Tube Box",http://localhost/hopgiayvpn/product/custom-cylindrical-paper-tube-box/,200,"Commercial investigation — source cylindrical paper tube box for tea; evaluate cylindrical paper tube box.","cylindrical paper tube box","tea packaging box","cylindrical paper tube box manufacturer","cylindrical paper tube box for tea","art paper tea box",,,,KEEP_DISTINCT,"Distinct product title and source-backed DNA.",NO
229,"Custom Flat Rigid Gift Box with Ribbon",http://localhost/hopgiayvpn/product/custom-flat-rigid-gift-box-with-ribbon/,200,"Commercial investigation — source flat rigid gift box for apparel; evaluate flat rigid gift box with ribbon.","flat rigid gift box","flat rigid gift box with ribbon","apparel packaging box","flat rigid gift box manufacturer","flat rigid gift box with ribbon for apparel","art paper apparel box",,,KEEP_AS_VARIANT,"Related commercial intent with source-backed differences: structure, opening/closure, insert/support, packed product/use",NO
230,"Custom Pastry Display Box with Drawer",http://localhost/hopgiayvpn/product/custom-pastry-display-box-with-drawer/,200,"Commercial investigation — source pastry display box with drawer for food; evaluate pastry display box with drawer.","pastry display box with drawer","food packaging box","pastry display box with drawer manufacturer","pastry display box with drawer for food","food grade paper food box",,,,KEEP_AS_VARIANT,"Related commercial intent with source-backed differences: structure, opening/closure, insert/support, packed product/use",NO
231,"Custom Wine Drawer Box with Insert",http://localhost/hopgiayvpn/product/custom-wine-drawer-box-with-insert/,200,"Commercial investigation — source wine drawer box with insert for wine; evaluate wine drawer box with insert.","wine drawer box with insert","wine packaging box","wine drawer box with insert manufacturer","wine drawer box with insert for wine","art paper wine box",,,,KEEP_AS_VARIANT,"Related commercial intent with source-backed differences: structure, opening/closure, insert/support, packed product/use",NO
232,"Luxury Wine Bottle Packaging Boxes",http://localhost/hopgiayvpn/product/luxury-wine-bottle-packaging-boxes/,200,"Commercial investigation — source luxury wine bottle packaging boxes.","luxury wine bottle packaging boxes","luxury wine bottle packaging boxes manufacturer","wholesale luxury wine bottle packaging boxes","luxury wine bottle packaging boxes supplier",,,,,NEEDS_OWNER_REVIEW,"Search intent overlaps, but one or both source records lack enough Product DNA to prove a distinct variant.",YES
233,"Custom Candle Jar Box with Insert",http://localhost/hopgiayvpn/product/custom-candle-jar-box-with-insert/,200,"Commercial investigation — source candle jar box with insert for candle; evaluate candle jar box with insert.","candle jar box with insert","candle packaging box","candle jar box with insert manufacturer","candle jar box with insert for candle","art paper candle box",,,,KEEP_DISTINCT,"Distinct product title and source-backed DNA.",NO
234,"Custom Incense Packaging Box with Window",http://localhost/hopgiayvpn/product/custom-incense-packaging-box-with-window/,200,"Commercial investigation — source incense packaging box with window for incense; evaluate incense packaging box with window.","incense packaging box with window","incense packaging box","incense packaging box with window manufacturer","incense packaging box with window for incense","art paper incense box",,,,KEEP_DISTINCT,"Distinct product title and source-backed DNA.",NO
235,"Custom Essential Oil Packaging Box with Insert",http://localhost/hopgiayvpn/product/custom-essential-oil-packaging-box-with-insert/,200,"Commercial investigation — source essential oil packaging box for essential oil; evaluate essential oil packaging box with insert.","essential oil packaging box","essential oil packaging box with insert","essential oil packaging box manufacturer","essential oil packaging box with insert for essential oil","white cardboard essential oil box",,,,KEEP_DISTINCT,"Distinct product title and source-backed DNA.",YES
236,"Custom Wallet Drawer Box",http://localhost/hopgiayvpn/product/custom-wallet-drawer-box/,200,"Commercial investigation — source custom wallet drawer box for wallet; evaluate wallet drawer box.","custom wallet drawer box","wallet drawer box","wallet packaging box","custom wallet drawer box manufacturer","wallet drawer box for wallet","art paper wallet box",,,KEEP_AS_VARIANT,"Related commercial intent with source-backed differences: structure, opening/closure, insert/support, packed product/use",NO
237,"Custom Rigid Gift Box with Ribbon Closure",http://localhost/hopgiayvpn/product/custom-rigid-gift-box-with-ribbon-closure/,200,"Commercial investigation — source rigid gift box with ribbon for retail; evaluate rigid gift box with ribbon closure.","rigid gift box with ribbon","rigid gift box with ribbon closure","retail packaging box","rigid gift box with ribbon manufacturer","rigid gift box with ribbon closure for retail","art paper retail box",,,KEEP_AS_VARIANT,"Related commercial intent with source-backed differences: structure, opening/closure, insert/support, packed product/use",NO
238,"Custom Wine Gift Box with Accessories",http://localhost/hopgiayvpn/product/custom-wine-gift-box-with-accessories/,200,"Commercial investigation — source wine gift box with accessories for wine; evaluate wine gift box with accessories.","wine gift box with accessories","wine packaging box","wine gift box with accessories manufacturer","wine gift box with accessories for wine","art paper wine box",,,,KEEP_DISTINCT,"Distinct product title and source-backed DNA.",NO
239,"Custom Pizza Packaging Box",http://localhost/hopgiayvpn/product/custom-pizza-packaging-box/,200,"Commercial investigation — source custom pizza packaging box for food; evaluate pizza packaging box.","custom pizza packaging box","pizza packaging box","food packaging box","custom pizza packaging box manufacturer","pizza packaging box for food","food grade paper food box",,,KEEP_DISTINCT,"Distinct product title and source-backed DNA.",YES
240,"Custom Cosmetic Tube Packaging Box with Insert",http://localhost/hopgiayvpn/product/custom-cosmetic-tube-packaging-box-with-insert/,200,"Commercial investigation — source cosmetic tube packaging box for cosmetics; evaluate cosmetic tube packaging box with insert.","cosmetic tube packaging box","cosmetic tube packaging box with insert","cosmetics packaging box","cosmetic tube packaging box manufacturer","cosmetic tube packaging box with insert for cosmetics","white cardboard cosmetics box",,,KEEP_AS_VARIANT,"Related commercial intent with source-backed differences: structure, opening/closure, insert/support, packed product/use",NO
241,"Custom Perfume Box with Insert",http://localhost/hopgiayvpn/product/custom-perfume-box-with-insert/,200,"Commercial investigation — source perfume box with insert for perfume; evaluate perfume box with insert.","perfume box with insert","perfume packaging box","perfume box with insert manufacturer","perfume box with insert for perfume","art paper perfume box",,,,KEEP_AS_VARIANT,"Related commercial intent with source-backed differences: structure, opening/closure, packed product/use",NO
242,"Custom Gift Box with Ribbon Bow",http://localhost/hopgiayvpn/product/custom-gift-box-with-ribbon-bow/,200,"Commercial investigation — source gift box with ribbon bow for retail; evaluate gift box with ribbon bow.","gift box with ribbon bow","retail packaging box","gift box with ribbon bow manufacturer","gift box with ribbon bow for retail","art paper retail box",,,,KEEP_DISTINCT,"Distinct product title and source-backed DNA.",NO
243,"Custom Nested Kraft Gift Boxes with Ribbon",http://localhost/hopgiayvpn/product/custom-nested-kraft-gift-boxes-with-ribbon/,200,"Commercial investigation — source nested kraft gift boxes for retail; evaluate nested kraft gift boxes with ribbon.","nested kraft gift boxes","nested kraft gift boxes with ribbon","retail packaging box","nested kraft gift boxes manufacturer","nested kraft gift boxes with ribbon for retail","kraft paper retail box",,,KEEP_DISTINCT,"Distinct product title and source-backed DNA.",NO
244,"Custom Tea Gift Box with Window",http://localhost/hopgiayvpn/product/custom-tea-gift-box-with-window/,200,"Commercial investigation — source tea gift box with window for tea; evaluate tea gift box with window.","tea gift box with window","tea packaging box","tea gift box with window manufacturer","tea gift box with window for tea","art paper tea box",,,,KEEP_DISTINCT,"Distinct product title and source-backed DNA.",NO
245,"Custom Apparel Drawer Box with Ribbon Pull",http://localhost/hopgiayvpn/product/custom-apparel-drawer-box-with-ribbon-pull/,200,"Commercial investigation — source apparel drawer box for apparel; evaluate apparel drawer box with ribbon pull.","apparel drawer box","apparel drawer box with ribbon pull","apparel packaging box","apparel drawer box manufacturer","apparel drawer box with ribbon pull for apparel","art paper apparel box",,,KEEP_AS_VARIANT,"Related commercial intent with source-backed differences: structure, insert/support, packed product/use",NO
246,"Custom Gift Box with Shredded Paper Filler",http://localhost/hopgiayvpn/product/custom-gift-box-with-shredded-paper-filler/,200,"Commercial investigation — source gift box with shredded paper for retail; evaluate gift box with shredded paper filler.","gift box with shredded paper","gift box with shredded paper filler","retail packaging box","gift box with shredded paper manufacturer","gift box with shredded paper filler for retail","white cardboard retail box",,,KEEP_DISTINCT,"Distinct product title and source-backed DNA.",NO
