"batch_id","sample_index","product_id","title","slug","url","cluster"
"BATCH-01","1","386","Custom Printed Corrugated Ecommerce Box","custom-printed-corrugated-ecommerce-box","http://localhost/hopgiayvpn/product/custom-printed-corrugated-ecommerce-box/","Priority corrugated duplicates and core mailers"
"BATCH-01","2","6024","CUSTOM CORRUGATED SUBSCRIPTION BOX","custom-corrugated-subscription-box","http://localhost/hopgiayvpn/product/custom-corrugated-subscription-box/","Priority corrugated duplicates and core mailers"
"BATCH-02","1","773","CUSTOM COSMETIC PACKAGING BOX","custom-cosmetic-packaging-box","http://localhost/hopgiayvpn/product/custom-cosmetic-packaging-box/","Skincare product-specific packaging"
"BATCH-02","2","5557","CUSTOM PERFUME AND LOTION GIFT SET BOX","custom-perfume-and-lotion-gift-set-box","http://localhost/hopgiayvpn/product/custom-perfume-and-lotion-gift-set-box/","Skincare product-specific packaging"
"BATCH-03","1","240","Custom Cosmetic Tube Packaging Box with Insert","custom-cosmetic-tube-packaging-box-with-insert","http://localhost/hopgiayvpn/product/custom-cosmetic-tube-packaging-box-with-insert/","Skincare product-specific packaging"
"BATCH-03","2","1420","CUSTOM SKINCARE SET PACKAGING BOX","custom-skincare-set-packaging-box","http://localhost/hopgiayvpn/product/custom-skincare-set-packaging-box/","Skincare product-specific packaging"
"BATCH-04","1","397","Custom Magnetic Gift Box with Insert Tray","custom-magnetic-gift-box-with-insert-tray","http://localhost/hopgiayvpn/product/custom-magnetic-gift-box-with-insert-tray/","Magnetic closure boxes by industry"
"BATCH-04","2","5709","CUSTOM LUXURY PERFUME BOX WITH MAGNETIC CLOSURE","custom-luxury-perfume-box-with-magnetic-closure","http://localhost/hopgiayvpn/product/custom-luxury-perfume-box-with-magnetic-closure/","Magnetic closure boxes by industry"
"BATCH-05","1","771","CUSTOM COLORED PENCIL PACKAGING BOX","custom-colored-pencil-packaging-box","http://localhost/hopgiayvpn/product/custom-colored-pencil-packaging-box/","Toy, game and creative-kit packaging"
"BATCH-05","2","7209","CUSTOM BIRTHDAY PAPER GIFT BAG WITH PRESENT PRINT","custom-birthday-paper-gift-bag-with-present-print","http://localhost/hopgiayvpn/product/custom-birthday-paper-gift-bag-with-present-print/","Toy, game and creative-kit packaging"
"BATCH-06","1","228","Custom Cylindrical Paper Tube Box","custom-cylindrical-paper-tube-box","http://localhost/hopgiayvpn/product/custom-cylindrical-paper-tube-box/","Tea and coffee packaging"
